,predict
2022-08-01 22:56:59.999,23025.968
2022-08-01 22:57:59.999,23027.941999999995
2022-08-01 22:58:59.999,23032.804
2022-08-01 22:59:59.999,23036.554000000004
2022-08-01 23:00:59.999,23048.268000000004
2022-08-01 23:01:59.999,23055.492000000002
2022-08-01 23:02:59.999,23056.440000000002
2022-08-01 23:03:59.999,23052.910000000003
2022-08-01 23:04:59.999,23052.868
2022-08-01 23:05:59.999,23050.858
2022-08-01 23:06:59.999,23050.54
2022-08-01 23:07:59.999,23053.478
2022-08-01 23:08:59.999,23057.325999999997
2022-08-01 23:09:59.999,23058.25
2022-08-01 23:10:59.999,23055.108
2022-08-01 23:11:59.999,23052.248
2022-08-01 23:12:59.999,23050.438
2022-08-01 23:13:59.999,23051.039999999997
2022-08-01 23:14:59.999,23055.04
2022-08-01 23:15:59.999,23065.97
2022-08-01 23:16:59.999,23074.577999999998
2022-08-01 23:17:59.999,23079.647999999997
2022-08-01 23:18:59.999,23082.03
2022-08-01 23:19:59.999,23076.53
2022-08-01 23:20:59.999,23072.872
2022-08-01 23:21:59.999,23067.418
2022-08-01 23:22:59.999,23064.328
2022-08-01 23:23:59.999,23059.865999999998
2022-08-01 23:24:59.999,23062.611999999997
2022-08-01 23:25:59.999,23059.685999999998
2022-08-01 23:26:59.999,23056.221999999998
2022-08-01 23:27:59.999,23061.629999999997
2022-08-01 23:28:59.999,23066.416
2022-08-01 23:29:59.999,23063.198
2022-08-01 23:30:59.999,23058.744
2022-08-01 23:31:59.999,23060.395999999997
2022-08-01 23:32:59.999,23054.416
2022-08-01 23:33:59.999,23052.467999999997
2022-08-01 23:34:59.999,23055.92
2022-08-01 23:35:59.999,23063.254
2022-08-01 23:36:59.999,23067.308
2022-08-01 23:37:59.999,23059.852
2022-08-01 23:38:59.999,23048.374000000003
2022-08-01 23:39:59.999,23032.426000000003
2022-08-01 23:40:59.999,23015.124
2022-08-01 23:41:59.999,23001.172000000002
2022-08-01 23:42:59.999,22999.256
2022-08-01 23:43:59.999,23000.388000000003
2022-08-01 23:44:59.999,23007.449999999997
2022-08-01 23:45:59.999,23012.328
2022-08-01 23:46:59.999,23018.566000000003
2022-08-01 23:47:59.999,23023.750000000004
2022-08-01 23:48:59.999,23025.935999999998
2022-08-01 23:49:59.999,23027.076
2022-08-01 23:50:59.999,23027.51
2022-08-01 23:51:59.999,23027.688
2022-08-01 23:52:59.999,23024.804
2022-08-01 23:53:59.999,23025.65
2022-08-01 23:54:59.999,23025.56
2022-08-01 23:55:59.999,23028.654
2022-08-01 23:56:59.999,23022.43
2022-08-01 23:57:59.999,23017.546000000002
2022-08-01 23:58:59.999,23018.462
2022-08-01 23:59:59.999,23017.982
2022-08-02 00:00:59.999,23018.638000000003
2022-08-02 00:01:59.999,23024.778
2022-08-02 00:02:59.999,23031.752
2022-08-02 00:03:59.999,23027.104000000003
2022-08-02 00:04:59.999,23024.597999999998
2022-08-02 00:05:59.999,23019.62
2022-08-02 00:06:59.999,23012.196
2022-08-02 00:07:59.999,22998.648
2022-08-02 00:08:59.999,22985.108000000004
2022-08-02 00:09:59.999,22961.168
2022-08-02 00:10:59.999,22939.016
2022-08-02 00:11:59.999,22915.088000000003
2022-08-02 00:12:59.999,22901.610000000004
2022-08-02 00:13:59.999,22898.762
2022-08-02 00:14:59.999,22906.528000000002
2022-08-02 00:15:59.999,22912.379999999997
2022-08-02 00:16:59.999,22926.53
2022-08-02 00:17:59.999,22932.021999999997
2022-08-02 00:18:59.999,22930.336
2022-08-02 00:19:59.999,22927.872
2022-08-02 00:20:59.999,22925.228
2022-08-02 00:21:59.999,22921.067999999996
2022-08-02 00:22:59.999,22919.982
2022-08-02 00:23:59.999,22920.985999999997
2022-08-02 00:24:59.999,22921.124
2022-08-02 00:25:59.999,22924.901999999995
2022-08-02 00:26:59.999,22928.971999999998
2022-08-02 00:27:59.999,22933.043999999998
2022-08-02 00:28:59.999,22931.644
2022-08-02 00:29:59.999,22926.204
2022-08-02 00:30:59.999,22920.362
2022-08-02 00:31:59.999,22914.916
2022-08-02 00:32:59.999,22912.936
